id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api
46|Budapest XII. kerület, Eötvös út||495 M Ft||450 m2|1 100 000 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||teremgarázs hely|ingatlaniroda|20|"RITKA LEHETŐSÉG MOST ÁRON ALUL ELADÓ!!! XII. KERÜLET KEDVELT RÉSZÉN, SVÁBHEGYEN, IMPOZÁNS KÖRNYEZETBEN, ELADÓ EGYEDI TERVEZÉSŰ 450 NM -ES, MAKOVECZ HÁZ. HA KÖZEL A VÁROSHOZ, MÉGIS HEGYVIDÉKI NYUGODT OTTHONT KERES MEGTALÁLTA.
TEHERMENTES, AZONNAL BIRTOKBA VEHETŐ!

A ház lenyűgöző, egyedi hangulatú, napfényes, 1400 nm-es telken helyezkedik el ami körbejárható.
Kert gondozott, öntözőrendszerrel van ellátva. Tárolás részére egy 12-nm-es kis ház van ahol wc, és víz is be van vezetve.
Az ingatlan riasztó rendszerrel ellátott. Az alsó szinten 3 gépkocsi részére beállós garázs, mosó, szárító helyiség, illetve wellness részlegből áll. Belső medence /10x4 m/ és a szauna amely a nyugalom és feltöltődés tökéletes helyszíne.
Földszinten található a tágas, napfényes nappali, ami teraszkapcsolatos. Innen..."|https://ingatlan.com/34696558|450 m2||||||||||||||||||||0.0|8.0|0.0|3.8|0.0|0.0|0.0|-2.0|0|1|0|1|0|0|0|1|11.8|2.0|9.8|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.46|enhanced_4step|aggregated_from_2_sources|2|||
47|Budapest XII. kerület, Galgóczy utca||450 M Ft||410 m2|1 097 560 Ft / m2||||jó állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|18|"Eladó egy sokoldalúan hasznosítható ingatlan Kútvölgyben!

Budapest 12. kerületének egyik legkeresettebb részén, a zöldövezeti Kútvölgyben eladó egy 5 lakásos társasház, amely családi házként is funkcionálhat, vagy különálló lakásokként is hasznosítható.

Az ingatlan egy 2134 m²-es telken helyezkedik el, rajta egy 500 m²-es, 4 szintes épület Az elmúlt évek során az épület külső szigetelést kapott.

Kialakítás és lehetőségek:

Földszint: 60 m²-es, 2 szobás kertkapcsolatos lakás

Első emelet: 190 m²-es, tágas lakás

Második emelet: 150 m²-es lakás

Harmadik emelet: Bruttó 150 m2-es lakás

Ez az ingatlan kiváló lehetőség befektetők számára is! A 5 lakás különállóan felújítható és értékesíthető, de egyben is használható egy nagy családi házként.

Parkolási lehetőség:

2 garázs és 2 udvari beál..."|https://ingatlan.com/34622252|410 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|2.5|0.0|0|0|0|0|0|1|1|0|5.7|0.0|5.7|XII. ker. Hegyvidék prémium|1.35|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1|||
48|Budapest XII. kerület, Orbánhegy||440 M Ft||250 m2|1 760 000 Ft / m2||||felújított|gázkazán||önálló garázs - kötelező megvenni|ingatlaniroda|10|"FIGYELEM ÁRVÁLTOZÁS!! XII. kerületben, Orbán-hegyen, kiemelt presztízsű környéken, csendes, átmenő forgalomtól mentes mellékutcában, kínáljuk eladásra ezt a 250 négyzetméteres, nappali+ 4 hálószobás, belső medencés ikerházat. Egyedül álló lehetőség, hiszen ezen a környéken nagyon kevés ehhez hasonló ingatlan van, ami az önálló ház érzetét biztosítja, belső medencés de annak méretéből adódóan, nem jelent megterhelő feladatot a fenntartása, szinte egy társasházi lakás áráért.
A kilencvenes években épült ház, a kétezres évek elején esett át egy belső építész által tervezett teljes körű felújításon, mely által modern, elegáns, és időtálló dizájn került kialakításra.
Jelenleg korszerűsítés céljából, napelem rendszer kiépítése van folyamatban, ugyanis a ház rendelkezik, “szaldós” villamos áram e..."|https://ingatlan.com/34716161|250 m2||||||||||||||||||||4.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|4.5|0.0|4.5|XII. ker. Orbánhegy|1.25|Orbánhegy|0.48|enhanced_4step|aggregated_from_2_sources|2|||
49|Budapest XII. kerület, Diósárok köz||690 M Ft||234 m2|2 948 717 Ft / m2||||felújított|házközponti||önálló garázs - benne van az árban|ingatlaniroda|29|"Eladó felújított villaépület Budapest XII. kerületében!

Csendes, zöldövezeti környezetben kínálunk eladásra egy 234 m²-es, impozáns villaépületet, 90 m2-es külön álló garázzsal. Az ingatlan egy 930 m²-es telken helyezkedik el, amelyet gondosan ápolt kert vesz körül.
A ház 2020-ban teljes műszaki és esztétikai felújításon esett át, így az új tulajdonos egy igényesen modernizált otthont kap, amely megőrizte eredeti jellegét és stílusát. A felújítás során minden részletre odafigyeltek, és az átalakítás teljes műszaki dokumentációja elérhető igény esetén.

Az épület három szintből áll, földszint, emelet, pinceszint.

Földszint:
- tágas nappali
- előtér
- étkező
- konyha
- kamra
- télikert
- zuhanyzós fürdőszoba
- külön mosdó

Emelet:

- három külön nyíló szoba
- dolgozó rész
- gardróbszoba
- ..."|https://ingatlan.com/34677100|234 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
50|Budapest XII. kerület, Zugliget||799 M Ft||660 m2|1 210 606 Ft / m2||1981 és 2000 között|||gázkazán||önálló garázs|ingatlaniroda|15|"P21643

XII. kerületben Zugligetben gyönyörű kertben álló családi ház eladó

Zugligetben természetvédelmi terület határán, nagyon szép erdei környezetben eladó egy folyamatosan karbantartott mai igényeket is kiszolgáló, meleg hangulatú családi ház.
A háromszintes házat folyamatosan karbantartották így ma is egy minőségi otthon. Tágas jó beosztású ingatlan, gyönyörűen beérett kertben a természetvédelmi terület határán de mégis jó közlekedéssel rendelkezik.
Az alsó szinten nagy méretű belső medence szaunák, fitnesz - pihenőrész. A kert szintjén van a nappali és 3 szoba mindegyik saját fürdőszobával. A tetőtérben 2 szoba mellett egy apartmant is van ahol egy kis konyhát is ki lehet alakítani.
A kert teraszos kialakítású szép nagy sík szintekkel és egy borospincével.

Hangulatos, meleg otthon ..."|https://ingatlan.com/34617829|660 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Hegyvidék prémium|1.35|Orbánhegy|0.72|enhanced_4step|aggregated_from_2_sources|2|||
51|Budapest XII. kerület, Széchenyihegy||649 M Ft||800 m2|811 250 Ft / m2||1981 és 2000 között||jó állapotú|hőszivattyú||önálló garázs - benne van az árban|ingatlaniroda|21|"Panorámás, medencés, többlakásos luxusvilla a 12. kerületben – Kiváló befektetési lehetőség!
Budapest egyik legkeresettebb részén, a 12. kerületben kínálunk eladásra egy páratlan adottságokkal rendelkező, jelenleg kétlakásos, de akár 3–4 lakássá alakítható, panorámás ingatlant. A társasházzá alakítás folyamata már elindult.

Az ingatlan egy 1000 m²-es, gondozott, parkosított telken fekszik, ahol egy 700 m²-es, 4 szintes épület található.

Főbb jellemzők:
Építés éve: 1999
Teljes lakótér: kb. 800 m²
Telek mérete: 1000 m²
Szintek száma: 4
Lift előkészítés (130x130 cm)
Társasházzá alakítás alatt – kiváló befektetés akár több lakás kialakítására
Wellness- és szabadidős részleg (152 m²):
Úszómedence ellenáramoltató géppel
Pezsgőfunkciós kisebb medence
Finn- és infraszauna
Öltöző (34 m²), 2 házta..."|https://ingatlan.com/34799320|800 m2||||||||||||||||||||0.0|8.0|0.0|3.8|0.0|6.4|0.0|0.0|0|1|0|1|0|1|0|0|18.2|0.0|18.2|XII. ker. Budai hegyek - Villa negyed|1.4|Virányos|0.72|enhanced_4step|aggregated_from_1_sources|1|||
52|Budapest XII. kerület, Széchenyihegy||274,90 M Ft||250 m2|1 099 600 Ft / m2||||befejezetlen|||udvari beálló - benne van az árban|ingatlaniroda|6|"Eladó szerkezetkész 250 nm-es ikerház, Budapest XII. kerületében, örök panorámával, 680 nm-es telken, építészeti, kiviteli tervekkel.
Négy szintes.
Könnyen befejezhető, saját ízlés szerint.
Több fürdőszoba kialakítható.
Több generáció együttélésére is alkalmas.

Amennyiben felkeltette érdeklődését, hívjon bizalommal!"|https://ingatlan.com/34657086|250 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Általános|1.0|Ismeretlen|0.0|fallback|none|0|||
53|Budapest XII. kerület, Istenhegy||800 M Ft||870 m2|919 540 Ft / m2||1981 és 2000 között||felújítandó||||ingatlaniroda|12|"A XII. kerület Istenhegy részén Eladó egy ritkaság számba menő telekmérettel rendelkező bruttó 870 nm-es ház a hozzátartozó teraszokkal.

A ház teljesen felújítandó.

Jelenlegi elosztását tekintve a Földszint mellett Emeleti és Pinceszint található.
A Földszint 187 nm, az Emelet: 194 nm, a Tetőtér 191 nm, a Pinceszint 298 nm.
A Pinceszint különlegessége a több, mint 3 m-es belmagassága:
Az előzetes koncepcióterv szerint 5 férőhelyes garázsbeálló, moziszoba, fitness/wellness terem, bár, tároló is is helyt kaphat.
A padlás beépítésével újabb teljesértékű szintet nyerhetünk.
A házban a lift területe kialakított.

Kialakítására több koncepcióterv készült, amely rendelkezésre áll.
Egyben felújítva családi ház, akár cégközpont, de méreténél fogva alkalmas 2-3 és 4 lakásos TÁRSASHÁZ kialakítására..."|https://ingatlan.com/34015883|870 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|XII. ker. Hegyvidék prémium|1.35|Virányos|0.64|enhanced_4step|aggregated_from_1_sources|1|||
54|Budapest XII. kerület, Kútvölgy||999 M Ft||393 m2|2 541 984 Ft / m2||2023||új építésű|hőszivattyú||önálló garázs - benne van az árban|ingatlaniroda|5|"Eladó a XII. kerületben, Kútvölgyben, 2023 épült, panorámás luxus ingatlan. A nappali + 4 szobás, 3 fürdőszobás, 393 m2-es, három szintes minimál stílusban készült okos-otthon 1286 m2-es telken található. Ablakaiból páratlan panoráma nyílik a budai hegyekre.
Nappali szint két frontján teljes üvegfelülettel került kialakításra így minden napszakban természetes fényt kap.
Ezen szinten nappali, étkező, konyha, fürdő és vendégszoba kapott helyet , hatalmas teraszokkal és kertkapcsolattal. A középső szinten 3 háló és 2 fürdő található a szobák terasz kapcsolatosak. Az alsó szinten 4 állásos, garázs, hobbiszoba, több tároló, háztartási helyiség, borhűtő, gépészeti helyiség, kerti szerszám tároló került kialakításra.


Műszaki:
Az ingatlan 2023 épült, a legmodernebb műszaki megoldásokkal ,legmaga..."|https://ingatlan.com/34441750|393 m2|A+++|||||||||||||||||||0.0|0.0|3.5|3.8|0.0|6.4|0.0|0.0|0|0|1|1|0|1|0|0|13.7|0.0|13.7|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
55|Budapest XII. kerület, Farkasvölgy||469 M Ft||282 m2|1 663 120 Ft / m2||1950 és 1980 között||közepes állapotú|gázkazán|||ingatlaniroda|27|"Eladó különleges családi ház Budán, örök panorámával és természetközeli életérzéssel !

A Budai-hegyek egyik legvarázslatosabb pontján, a XII. kerület zöldövezeti részén, közvetlenül a természetvédelmi terület határán kínálunk megvételre egy egyedülálló hangulatú, többszintes családi házat. Az ingatlan egy eldugott, csendes, forgalomtól mentes utcában található, ahonnan lenyűgöző, elvehetetlen panoráma nyílik az erdős domboldalra. A ház ideális választás mindazok számára, akik egyszerre szeretnének a város közelében élni, mégis a természet ölelésében, teljes nyugalomban.

A napfényes, déli fekvésű épület egy közel 1000 m²-es, vadregényes kerttel körülvett telken található, ahol idős tölgyfák, gondozott zöldfelületek és a környékre jellemző állatvilág – mókusok, sünök, madarak – teszik telj..."|https://ingatlan.com/34847111|282 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|0.0|0.0|0|0|0|0|0|1|0|0|6.4|0.0|6.4|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
56|Budapest XII. kerület, Svábhegy||1,27 Mrd Ft||480 m2|2 649 328 Ft / m2||1950 előtt||felújított|gázkazán||önálló garázs|ingatlaniroda|12|"XII. Svábhegyen eladó egy 2300 nm-es telken, 380 nm-es, 11 szobás családi villaépület külön személyzeti házzal (100 nm). A villa az 1900- as évek elején épült .
3 szintes és gyönyörű eredeti falépcső található benne. A villa összes szintjéről a környék fantasztikus panorámája tárul elénk.
Az autók parkolását kétszer kétállásos garázs biztosítja.
A kertben úszómedence található, ahonnan elénk tárul a környék.
Az ingatlan bérbe van adva, 5700 euró / hó bérleti díjért!
Az ingatlan ára: 3 189 999 €
Tisztelt Érdeklődő!
Irodánk hétvégén is hívható!"|https://ingatlan.com/32894768|480 m2||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0|1|0|0|0|0|0|0|4.0|0.0|4.0|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.46|enhanced_4step|aggregated_from_2_sources|2|||
57|Budapest XII. kerület, Magasút||249 M Ft||192 m2|1 296 875 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán, padlófűtés, kandalló||önálló garázs - benne van az árban|ingatlaniroda|15|"12. kerület csendes, panorámás zsákutcájában, megvásárolható 3 szintes összesen 192 nm-es sorház, 505 nm-es telken 249 Millió Forint Irányáron.

1983-ban épült tégla épület jó állapotú, folyamatosan karban tartott, tavaly teljes festésen esett át.
Szinteltolásos kialakításnak köszönhetően, 4 szobás családi otthon kiválóan alkalmas nagyobb család számára.

A szuterénszint kertkapcsolattal rendelkezik, így könnyedén kialakítható egy különálló garzon lakás. Jelenleg garázs, műhely, fürdőszoba, kazánház helyezkedik el itt.
Fölszinten tágas előszoba, továbbhaladva hangulatos teraszkapcsolatos konyha-étkező kapott helyett. Ezen a szinten praktikusan egy kamra és egy mosdó is nyílik. Félemeleten tágas ,déli tájolású nappalihoz egy panoráma terasz kapcsolódik. Második szinten van 3 szoba, melyek k..."|https://ingatlan.com/34932382|505 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.72|enhanced_4step|aggregated_from_1_sources|1|||
58|Budapest XII. kerület, Istenhegyi út||250 M Ft||232 m2|1 077 586 Ft / m2|5 + 3 fél|1981 és 2000 között||felújítandó|gázkazán, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|21|"INGATLAN HELYSZÍNE:
Az ingatlan Buda XII. kerületében, az Orbán térnél helyezkedik el, közel a város szívéhez. A környéken sok séta és kirándulóhely található, hisz a közelben található a Normafa, a Kis-Sváb-hegy és a Libegő is. Tömegközlekedése kiváló, hiszen a 21-es, 21A-s, 60B-s, 210-es, 210B-s,212-es, 212A-s, 212B-s, 221-es és a 990-es éjszakai busszal Buda és Pest főbb csomópontjai is gyorsan megközelíthetőek. A MOM Park, a Hegyvidéki - és a Mammut Bevásárlóközpont könnyen megközelíthető, ahol bevásárlásra és sportolásra is lehetőség van. A közelben óvoda (magyar, angol), iskola (magyar, osztrák, angol), játszótér, orvosi rendelő, gyógyszertár stb. is megtalálható.

ÉPÜLET JELLEMZŐI:
A téglaépítésű, sátortetős 4 lakásos sorház 1985-ben épült, átlagos állapotú. Pár éve újult meg a gáz-..."|https://ingatlan.com/34779010|232 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Hegyvidék prémium|1.35|Svábhegy|0.76|enhanced_4step|aggregated_from_2_sources|2|||
59|Budapest XII. kerület, Orbánhegy||890 M Ft||500 m2|1 780 000 Ft / m2||||jó állapotú|gázkazán||teremgarázs hely - benne van az árban|ingatlaniroda|29|"Svábhegy-Orbánhegy találkozásánál, zsákutca végében eladó ez a rendkívül nyugodt helyen lévő családi ház, ami olyan panorámás, hogy telemegy a szeme Budapesttel.

A ház beosztásának köszönhetően könnyedén 3 külön lakrésszé alakítható, jelen kialakítása szerint egy nagy családi ház 3 szint lakrésszel, egy wellness szinttel és a garázs szinttel.

Kevés ilyen ház van már a hegyen ami ilyen nagy kerttel, kompromisszum mentes panorámával rendelkezik."|https://ingatlan.com/34760888|500 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|0.0|0.0|0|0|0|0|0|1|0|0|6.4|0.0|6.4|XII. ker. Orbánhegy|1.25|Svábhegy|0.64|enhanced_4step|aggregated_from_2_sources|2|||
60|Budapest XII. kerület, Zólyomi lépcső||287 M Ft||219 m2|1 310 502 Ft / m2||||felújított|gázkazán||udvari beálló - benne van az árban|ingatlaniroda|25|"INGATLAN HELYSZÍNE:
Németvölgy csendes, nyugodt mellékutcájában, zöldövezeti, családi házas, kis társasházas környezetben épült az ingatlan. Tömegközlekedés szempontjából az utca kiváló fekvésű, hiszen mind tömegközlekedési eszközökkel, mind személygépkocsival gyorsan megközelíthető a város minden pontjáról. Pár perc az 59-es villamos, 10 percen elül elérhető a 8E, 110., 112-es busz, a BAH csomópont. A közeli MOM Park bevásárlóközpont és a Hegyvidék Központ minden szempontból igen jól ellátott, üzletek, közért, posta, gyógyszertár, sportolási lehetőségek, mozi is megtalálható benne. A Gesztenyés Kert játszótereivel, sportközpontjával kiváló kikapcsolódási lehetőséget biztosít.

ÉPÜLET JELLEMZŐI:
A sátortetős téglaház 1938-ban épült. Jelenleg a sorház jellegű társasházhoz négy lakás tartozi..."|https://ingatlan.com/34788543|219 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|-4.0|0|0|0|0|0|1|0|1|3.2|4.0|-0.8|XII. ker. Belváros|1.0|Virányos|0.76|enhanced_4step|aggregated_from_1_sources|1|||
61|Budapest XII. kerület, Farkasvölgy||299 M Ft||300 m2|996 666 Ft / m2||1950 és 1980 között||felújítandó|gázkazán||teremgarázs hely - benne van az árban|ingatlaniroda|23|"Panorámás családi ház, 1020 m²-es telken 12 kerületben!
Eladásra kínálunk egy ritka adottságú, önálló családi házat, panorámás kilátásával is kiemelkedik a piacon. Az ingatlan egy 1021 m²-es, enyhén lejtős telken helyezkedik el, csendes, zsák utcában.

A ház összesen 300 m² alapterületű, 3 szinten, jelenlegi állapotában felújítandó, így kiváló lehetőséget biztosít saját igények szerinti átalakításra, korszerűsítésre – akár többgenerációs otthon, akár exkluzív rezidencia kialakítására is alkalmas.

Főbb paraméterek:
Lakótér: 300 m²
Telek: 1021 m²
Szobák: nappali + 6 külön nyíló szoba
Fürdőszobák: 3
Garázs: 3 állásos, belső bejárattal
Állapot: felújítandó
Fekvés: kiváló benapozás, panorámás kilátás a környező zöldövezetre

A ház lehetőségei:
Többgenerációs családok számára is ideális
Befekte..."|https://ingatlan.com/34775866|300 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|12.8|0.0|-4.0|0|0|0|1|0|1|0|1|16.6|4.0|12.6|XII. ker. Hegyvidék prémium|1.35|Ismeretlen|0.0|fallback|none|0|||
62|Budapest XII. kerület, Zsolna utca||799 M Ft||300 m2|2 663 333 Ft / m2||1950 és 1980 között||felújított|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|30|"Álomba illő panorámás ikerház
Amikor először mentem megtekinteni a házat egy igényes, nem túl hivalkodó, az utcáról még magából keveset megmutató épületbe érkeztem. Érezhetően az volt az építész célja, hogy kitűnjön a környezetéből elegáns megjelenésével. Kinyílt a bejárati ajtó és WOW! A nappalin keresztül nézve egy nagy ablakon át azonnal megütötte a szemem a kilátás. Neked és vendégeidnek is maradandó élmény lesz az ide való megérkezés!

A ház tele van praktikus megoldásokkal, jól átgondolt koncepció alapján készült. Egy régi épületet szerkezetig visszabontottak és újjáépítettek. Tágas közösségi tér, gyönyörű kilátással a hegyekre és a városra. A felső szint a magánszféráról szól. A szülői hálóból látszik a parlament. Fürdőjétől eláll az ember lélegzete.

Ami rám a legnagyobb hatással v..."|https://ingatlan.com/34780528|300 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. ker. Általános|1.0|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1|||
63|Budapest XII. kerület, Mátyás király út||549,90 M Ft||650 m2|846 000 Ft / m2||1981 és 2000 között||közepes állapotú|gázkazán||teremgarázs hely - benne van az árban|ingatlaniroda|30|"***Svábhegyen, Kizárólag Nálunk!*** Eladó exkluzív családi villa páratlan természeti környezetben! Akár összeköltözőknek, akár befektetőknek ideális választás. 2 ingatlan egyen arculattal és egyedi minőségben.
Egyedülálló lehetőség egy elit környéken, közvetlenül az erdők ölelésében. Séta távolságra a Normafa és a Harang-völgy páratlan atmoszférája.
Az ingatlan 2 utcáról is megközelíthető tekintettel arra, hogy utcától utcáig húzódik. Az ingatlanok az alsó utca felől egy minimum 6 személyautó zárt és privát parkolását biztosító garázsban elhelyezkedő privát lifttel közelíthetőek meg; míg felülről szintén mesés erdei környezetben pár lépcsőn át lehet bejutni a főépületbe.

Több, mint 600 nm luxus életérzés, saját belső lifttel, wellness részleggel: beltéri medence, szauna, pihenőtér, napozó..."|https://ingatlan.com/34929088|650 m2|B|||||||||||||||||||0.0|12.0|0.0|7.6|0.0|0.0|0.0|0.0|0|1|0|1|0|0|0|0|19.6|0.0|19.6|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.76|enhanced_4step|aggregated_from_1_sources|1|||
64|Budapest XII. kerület, Széchenyihegy||550 M Ft||522 m2|1 053 639 Ft / m2||1981 és 2000 között||felújítandó|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|7|"Kiváló fejlesztési és befektetési lehetőség a XII. kerület exkluzív Széchenyi-hegyi részén!
Elegáns villaépületek és modern, új építésű családi házak szomszédságában, egy csendes mellékutcában kínálunk eladásra egy panorámás, délkeleti tájolású, 1192 m²-es telken fekvő, 522 m²-es családi házat. A 2000-es évek elején épült ingatlan jelenleg nem lakott. Az épület és a hozzá tartozó télikert mérete jelentősen meghaladja a mai beépítési előírásokat, azonban fennmaradási engedéllyel rendelkezik. Ennek köszönhetően a telekre az eredeti épület kontúrjait megtartva ugyanakkora alapterületű ház építhető.
Földszint (150 m²): A wellness-részleg medencével, szaunával, fürdőszobával és pihenőhelyiséggel került kialakításra. Innen közvetlen átjárás nyílik a 67 m²-es garázsba és tárolókba, valamint ezen ..."|https://ingatlan.com/34687222|522 m2||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|3.2|0.0|0.0|0|1|0|1|0|1|0|0|11.0|0.0|11.0|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
65|Budapest XII. kerület, Rácz Aladár út||274,89 M Ft||250 m2|1 099 560 Ft / m2||||felújítandó|||udvari beálló - benne van az árban|ingatlaniroda|24|12. kerület kiemelt részén a Rácz Aladár úton eladó egy 680 négyzetméteres örök panorámás telken,gyakorilatilag hibátlan satatikai/szerkezetű állapotban , lényegében szerkezetkészen egy 250 négyzetméteres ikerház . Igény esetén építészeti és belsőépítészeti/kiviteli tervekkel.|https://ingatlan.com/34118724|250 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|3.2|0.0|0.0|0|0|0|1|0|1|0|0|7.0|0.0|7.0|XII. ker. Általános|1.0|Ismeretlen|0.0|fallback|none|0|||
67|Budapest XII. kerület, Széchenyihegy||499 M Ft||420 m2|1 188 095 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||önálló garázs - kötelező megvenni|ingatlaniroda|8|"INGATLANFEJLESZTŐK, BEFEKTETŐK figyelmébe!
XII. Széchenyihegy egyik legkedveltebb, csendes, zöld mellékutcájában jó állapotú, minőségi anyaghasználattal saját célra megépített, brutto 450 nm lakóterű, több - összesen 64 nm - terasszal bíró, hegyvidéki panorámás, 8 szobás, igényes - akár HÁROM-NÉGY LAKÁSSÁ ALAKÍTHATÓ - családi ház eladó.
A ~700 nm-es, parkosított, örökzöldekkel beültetett telken lévő önálló ingatlanhoz 50 nm-es, - elektromos kapun és fűtött lehajtón megközelíthető - garázs is tartozik (+36MFt).
A ház kialakítására jellemzőek a tágas, nagy terek, a hatalmas panorámaablakoknak köszönhetően rendkívül világos, kellemes családi otthon.
Az ingatlan műszaki jellemzői: Monolit födémek, 30-as Porotherm falazat, 10 cm dryvit szigetelés; háromrétegű üvegezéssel ellátott nyílászárók; a..."|https://ingatlan.com/34623757|420 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.76|enhanced_4step|aggregated_from_1_sources|1|||
68|Budapest XII. kerület, Széchenyihegy||499 M Ft||421 m2|1 185 273 Ft / m2||1981 és 2000 között||jó állapotú||||ingatlaniroda|13|"Befektetők, ingatlanfejlesztők figyelem!
Ritka befektetési lehetőség! Széchenyi-hegy lejtőjén, panorámás telken álló családi ház - akár három lakássá történő átalakítási lehetőséggel eladó!
Az átalakításra már tervek készültek, de a négy szinten található elegáns belső terek akár többféle elosztási/leválasztási lehetőséget is magukban rejtenek.
A kilencvenes évek elején igényes anyagok felhasználásával, saját célra épült házat átgondolt belső terek jellemzik. A közel 450 m2 lakóteret, minden szinten teraszok veszik körbe melyekre szinte az összes lakószobából kiléphetünk.
Műszaki jellemzők: Monolit födémek, 30-as Porotherm falazat, 10 cm dryvit szigetelés; háromrétegű üvegezéssel ellátott vörösfenyő nyílászárók; a hőellátást Vaillant gázkazán biztosítja radiátoros- és padlófűtéssel; igénye..."|https://ingatlan.com/33498874|421 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
69|Budapest XII. kerület, Sashegy||1,50 Mrd Ft||800 m2|1 872 500 Ft / m2|6 + 1 fél|||||||ingatlaniroda|2|"Kivételes adottságú ház eladó,
bővebb információ telefonon tudok adni."|https://ingatlan.com/34683640|800 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Általános|1.0|Ismeretlen|0.0|fallback|none|0|||
