id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo|geo_latitude|geo_longitude|geo_address_from_api
28|Budapest X. kerület, Tóvirág utca||61 M Ft||50 m2|1 220 000 Ft / m2|||5|felújított|távfűtés||utca, közterület - ingyenes|ingatlaniroda|9|X. Kerület Újhegy részén egy 50 nm-es lakás Eladó! Megvételre kínálok a X. Kerület közkedvelt részén egy 50 négyzetméteres 2 szobás, liftes társasházban található, kiváló állapotú lakást.. A lakásnak egy tulajdonosa van, teljesen per-tehermentes. Az ingatlan jó állapotú, délkeleti fekvésének köszönhetően napfénnyel teli. A társasház rendezett, panelprogramban részt vett 10 cm külső szigetelést kapott továbbá teljesen új nyílászárókat és főbejárati ajtó. Kellemes és barátságos lakóközösséggel rendelkezik. Jelenlegi elrendezése praktikus, minden helyiség külön nyílik, a 2,6 méteres belmagasságának, tágas nappalijának, valamint a kis szobájának köszönhetően plusz teret és kényelmet nyújt. A lakásba belépve egy tágas előtér fogad, ahonnan könnyen elérhetőek a helyiségek, mint például, a konyha...|https://ingatlan.com/34751056|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|5.0|-2.0|0|0|0|0|0|0|1|1|5.0|2.0|3.0|Általános terület|1.0|||
29|Budapest X. kerület, Harmat utca||71,40 M Ft||81 m2|844 970 Ft / m2||1981 és 2000 között|földszint|közepes állapotú|távfűtés|7 m2|utca, közterület - ingyenes|maganszemely|1|"Ingatlanközvetítők kérem kíméljenek, kiemelt szerződésünk van.

Eladó egy különleges négy szobás lakás Kőbányán, az Újhegyi lakótelepen!

Fedezd fel ezt a páratlan lehetőséget Kőbánya szívében, ahol ez a tágas, 81 négyzetméteres, földszinti lakás várja új lakóit! Az ingatlan a lakótelepen szinte egyedülálló, négy szobával rendelkezik, és három zárt erkéllyel is büszkélkedhet, mivel a lakótelep többi ingatlanjától eltérően a bejárati erkély itt nem két lakásra nyílik, csak egyre, és két szoba is erkélyre végződik.

Ez a lakás különösen ideális választás fiatal, többgyerekes családok számára, akik szeretnék saját ízlésükre formálni új otthonukat. A lakás felújításra szorul, ami lehetőséget ad arra, hogy minden részletet a saját elképzeléseid szerint alakíts ki. Bár a nyílászárók régiek, és a..."|https://ingatlan.com/34465776|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|Általános terület|1.0|||
30|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||65,90 M Ft||68 m2|948 201 Ft / m2||1950 és 1980 között||jó állapotú|távfűtés|3 m2||ingatlaniroda|11|"Kiváló állapotú nagy lakás eladó az Újhegyi lakótelepen
Árcsökkenés!!!
Eladó a X. kerületben a kedvelt Újhegyi lakótelepen egy jó állapotú, 68 nm-es 3 szobás, erkélyes nagy lakás.
A lakóház és a környezete is rendezett, az épületek között zöld parkok találhatók. A lakás jó elosztású, ablakai két irányba néznek, így minden napszakban éri fény.
Konyhája nagy ablakos, a szobák kényelmes méretűek, jól berendezhetők. Az egyik szoba erkélyes. A nyílászárók cserélve lettek korszerű műanyag ablakokra, a fürdőszoba és a konyha is felújításra került. A szobákban laminált padló lett lerakva. Az ingatlan üres, tehermentes, rövid időn belül birtokba vehető.
Közelben minden gyalogosan is elérhető, Bajcsy Kórház, rendelő, piac, Interspar, Auchan és egyéb bevásárlási lehetőségek.
Buszjáratok közvetlenül K..."|https://ingatlan.com/34914437|||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0|1|0|0|0|0|0|0|4.0|0.0|4.0|Általános terület|1.0|||
31|Budapest X. kerület, Tóvirág utca||54,90 M Ft||50 m2|1 055 769 Ft / m2|||7|felújított|távfűtés|4 m2|utca, közterület - ingyenes|maganszemely|1|"FOGLALÓZVA, A HIRDETÉS SZÜNETEL!!!

Képeket e-mailben tudunk róla küldeni.

Eladó az Újhegyi lakótelepen Tóvirág utcában 10 percre a KöKi Termináltól 50m2-es 2 külön bejáratú szobás, erkélyes, panelprogramban beszigetelt panellakás. Tehermentes, azonnal költözhető.

A közelben buszmegálló, óvoda, iskola, játszótér, újhegyi sétány, uszoda, bevásárló központ, Auchan, Family Center. Csendes nyugodt környék, kellemes kilátással az Újhegyi-tóra, térfigyelő kamera az utca végén. Parkolás a ház előtt ingyenes.

Panelprogramban részt vett és már a közös költség nem terhelt az összegével.

A lakás bútorozatlan, de konyhabútorral és új gáztűzhellyel rendelkezik, az ablakokon redőny van.
Távfűtéses, Víz gáz és villanyórával ellátott.

Ingatlanosok jelentkezését köszönjük nem kérjük, semmilyen indokka..."|https://ingatlan.com/34817711||D|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|Prémium villa negyed|1.3|||
32|Budapest X. kerület, Tóvirág utca||57,90 M Ft||49 m2|1 146 534 Ft / m2||1950 és 1980 között|5|felújított|távfűtés|3 m2|utca, közterület|maganszemely|0|"Kőbánya-Újhegyen, csendes környéken!

Eladó egy 50 m²-es, napfényes, igényesen felújított lakás az 5. emeleten, panelprogramban felújított társasházban, a Tóvirág utcában.
A lakás keleti és nyugati tájolásának köszönhetően egész nap világos, az egyik oldalon gyönyörű napfelkeltére, a másikon kellemes délutáni fényekre lehet számítani.

A lakás elrendezése praktikus: két külön nyíló szoba, külön fürdőszoba és WC, nyugati fekvésű, A felújítás 2025 februárban történt.

A lakás hang- és hőszigetelt nyílászárókkal, illetve kedvező fűtési költségekkel rendelkezik. A házban lift működik.

A környék ideális családoknak és nyugalmat keresőknek: sok zöldfelület, játszóterek, ingyenes parkolás a ház körül, és pár perc sétára található az Újhegyi sétány üzletekkel (Spar, pékség, posta stb.). Több óvod..."|https://ingatlan.com/34735625|||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|1|0|0|0|0|0|1|4.0|2.0|2.0|Prémium villa negyed|1.3|||
34|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||59,90 M Ft||50 m2|1 163 106 Ft / m2||1950 és 1980 között|5|felújított||3 m2|utca, közterület - ingyenes|ingatlaniroda|6|"Kőbánya-Újhegyen 50 m2-es, 2 szobás, V. emeleti lakás Eladó,
Kőbánya legjobb részén, 10 emeletes szigetelt panelház, 5. emeletén, világos lakás várja új gazdáját.
Az ingatlan felújítandó, tehermentes. A nagy szobában és a vizes helyiségekben járólap található az erkélyes kisszobában lamináltpadló.
A szobák világosak és tágasak, remek elrendezéssel, DNY-i fekvésűek.

A lakás az újhegyi sétány mellett található, csendes utcában.
A ház rendezett, barátságos szomszédok és kultúrált lakóközösség jellemzi.

A parkolás a ház előtti ingyenes parkolóban megoldott.
AZ ÚJHEGYI LAKÓTELEPEN RENDŐRSÉGRE BEKÖTÖTT KAMERA RENDSZER LETT KIÉPÍTVE!
Közlekedés:
Buszok: 85, 85E, (a 3-as metró, Kőbánya-Kispest végállomás 5 perc, az Örs Vezér téri 2-es
metró 10 perc közlekedésre van.) 68 (A Kossuth téri piac 5 pe..."|https://ingatlan.com/34760324|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-6.0|0|0|0|0|0|0|0|1|0.0|6.0|-6.0|Központi terület|1.0|||
35|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||59 M Ft||49 m2|1 168 316 Ft / m2||1981 és 2000 között|3|jó állapotú|távfűtés|3 m2|utca, közterület - ingyenes|ingatlaniroda|16|"Eladó egy szép állapotú, jó elosztású, loggiás, klímás lakás a 10. kerületben, Újhegyen.

Az ingatlan 49 nm-es, 2 szobás és egy jó állapotú tízszintes társasház 3. emeletén található 10. kerület csendes, mégis jól megközelíthető részén.

A lakás két teljes értékű szobával rendelkezik, amelyek egymásból és külön is nyílnak. A konyha és a fürdőszoba teljeskörűen felújított, modern, esztétikus burkolatokkal. Az egész lakás új hidegburkolatot kapott, így valóban friss, gondozott benyomást kelt.

A komfortot távfűtés, klíma, valamint műanyag nyílászárók redőnnyel és szúnyoghálóval biztosítják a kellemes hőmérséklet és a nyugodt, csendes környezet garantált.

A lakáshoz tartozik egy tágas, nyitott loggia, amely tökéletes helyszíne lehet a reggeli kávézásnak, pihenésnek vagy akár egy zöld növénye..."|https://ingatlan.com/34860725|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3|||
36|Budapest X. kerület, Mélytó utca||66 M Ft||49 m2|1 320 000 Ft / m2|||2|felújított|távfűtés|2 m2||maganszemely|1|"Eladó becsben tartott 2 szobás, erkélyes, teljesen felújított 49nm + erkélyes panel lakás X. kerületben Újhegyen!

2023-ban teljes körűen felújított, modern stílusú lakás várja új tulajdonosát Kőbánya egyik legkedveltebb részén. A második emeleti, DNY-i fekvésű lakás világos szobákkal, új nyílászárókkal, burkolatokkal, vezetékekkel és légkondival rendelkezik.

A ház panelprogramos, kívülről szigetelt, a lift felújított. A lakás tehermentes, 1/1 tulajdon.

✅ Erkély
✅ Ingyenes parkolás a ház előtt
✅ Csendes, madárcsicsergős környezet
✅ Közvetlen közelben tó és zöldövezet, Sportliget, játszóterek, orvosi rendelő, cukrászda, bevásárlási lehetőségek, uszoda
✅ Kiváló közlekedés – KÖKI Terminál kb. 10 perc

Barátságos, kulturált lakóközösség jellemzi az épületet – ide igazán jó lesz hazatérni!

/..."|https://ingatlan.com/34933507|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|2.5|-2.0|0|0|0|0|0|1|1|1|5.7|2.0|3.7|Prémium villa negyed|1.3|||
37|Budapest X. kerület, Kővágó utca||55,99 M Ft||49 m2|1 108 712 Ft / m2|||6|jó állapotú|távfűtés|3 m2|utca, közterület - ingyenes|maganszemely|0|"Eladó 2 szobás, erkélyes panellakás Újhegyen, a Kővágó utcában

Eladó egy 49 m²-es, 2 szobás panellakás a X. kerületben, az Újhegyi lakótelepen, a Kővágó utcában, 10 emeletes ház 6. emeletén.

Főbb jellemzők:
•Alapterület: 49 m²
•Szobák: 2 különnyíló szoba
•Emelet: 6/10
•Erkély: ~3 m²
•Fürdő és WC külön helyiségben
•Folyosó beépített gardróbszekrénnyel (az ár tartalmazza)
•Központi fűtés
•Közös költség: 14 790 Ft/hó
•Tehermentes
•Ingyenes parkolás a ház előtt

Közlekedés:
Buszmegálló néhány perc sétára (85, 85E, 185, 268).
•Kőbánya–Kispest (M3 metró): kb. 10 perc
•Örs vezér tere (M2 metró): kb. 12–15 perc

Környék:
A közelben iskola, óvoda, mosoda, Interspar, minden könnyen elérhető.

???? Ingatlanosok kérem, kíméljenek!"|https://ingatlan.com/34931699|||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|0.0|0.0|-6.0|0|1|0|1|0|0|0|1|7.8|6.0|1.8|Jó lakónegyed|1.15|||
38|Budapest X. kerület, Szövőszék utca||55 M Ft||50 m2|1 057 692 Ft / m2|||földszint|jó állapotú|távfűtés|4 m2|utca, közterület - ingyenes|maganszemely|1|"50 m²-es, földszinti, napfényes, jó állapotú lakás eladó, amely parkra néz.

Főbb jellemzők:
- 2 külön nyíló szoba + erkély.
- Bútorozott, klímával felszerelt. Azonnal költözhető
- Panelprogramon átesett: 10 cm szigetelés, műanyag nyílászárók.
- Alacsony rezsi és közös költség.
- Minden pár perc sétára elérhető: orvosi rendelő, gyógyszertár, iskola, óvoda, edzőtermek, buszmegállók, valamint számos bevásárlási lehetőség (Interspar, Penny, Lidl, Jysk, Auchan, Bevásárlóudvar, Újhegyi sétány).
- Szabadidős lehetőségek: játszóterek, Mély tó, sportpark, strand.
- Közlekedés: 5 perc busszal a Köki és a 3-as metró, 15 perc az Örs vezér tere, Árkád, IKEA és Sugár.
- A ház előtt és mögött ingyenes parkolás biztosított.

Tehermentes, könnyen kiadható, befektetésnek is remek választás!

Ingatlanközvet..."|https://ingatlan.com/34928508|||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|2.5|-6.0|0|1|0|0|0|0|1|1|6.5|6.0|0.5|Jó lakónegyed|1.15|||
39|Budapest X. kerület, Tóvirág utca||49,50 M Ft||49 m2|1 010 204 Ft / m2|||7|felújítandó|távfűtés||utca, közterület|maganszemely|0|"Álmaid otthona – a te terveid szerint!

Eladó egy 7. emeleti, 2 szobás, lakótelepi lakás Kőbánya, Újhegy lakótelepen, ami most még a múltat idézi… de egy kis fantáziával és felújítással modern, stílusos otthont varázsolhatsz belőle!
Itt mindenben te döntesz: burkolat, színek, konyha, fürdő – minden a te ízlésed szerint készülhet el.

Miért jó választás?
- Tágas, különnyíló szobák (de a két szoba között is van ajtó, amit meg lehet tartani, vagy le is zárható)
- Napfényes konyha és szobák
- Különnyíló WC és fürdőszoba
- Remek infrastruktúra: üzletek, iskola, óvoda, orvosi rendelő, buszmegálló pár perc sétára
- Uszoda, sportpályák, kutyafuttató a közelben
- Lakótelepi nyugalom, rendezett környezet

Alapterület: 49 m² + beépített erkély

Állapot: teljesen felújítandó – vagyis teljesen testresz..."|https://ingatlan.com/34928194|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|-4.0|0|0|0|1|0|0|0|1|3.8|4.0|-0.2|Jó lakónegyed|1.15|||
40|Budapest X. kerület, Szövőszék utca||65,50 M Ft||50 m2|1 286 836 Ft / m2||1950 és 1980 között|6|felújított|távfűtés, hűtő-fűtő klíma|1.8 m2|utca, közterület - ingyenes|ingatlaniroda|13|Eladó otthon Budapest X. kerületének egyik legnyugodtabb, zöldövezeti részén, az Újhegyi sétány közvetlen közelében. Ez a 6. emeleti, erkélyes, 50 m²-es, 2 szobás lakás nemcsak egy új cím a lakcímkártyádon – ez a hely egy új élet kezdete lehet. Miért fogod imádni? Világos, napfényes lakás, ahová jó belépni. Erkély gyönyörű kilátással – a reggeli kávé új értelmet nyer itt. 2 db hűtő-fűtő klíma – mindig pont olyan hőmérséklet, amilyenre vágysz. Felújított elektromos hálózat – biztonság és modernitás. Műanyag nyílászárók redőnnyel – nyugalom és hőszigetelés. Panelprogramos, szigetelt ház – alacsony rezsi, igényes környezet.  Ingyenes parkolás a ház előtt. Teljesen bútorozott – amit látsz, azt megkapod. Tehermentes és azonnal költözhető. Befektetők figyelem! Akár meglévő, megbízható bérlőkkel ...|https://ingatlan.com/34920425|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|5.0|0.0|0|0|0|0|0|1|1|0|8.2|0.0|8.2|Jó lakónegyed|1.15|||
41|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||58 M Ft||50 m2|1 137 254 Ft / m2||1950 és 1980 között|10|felújított|távfűtés|2 m2||ingatlaniroda|11|"Kőbánya-Újhegyen másfél szobás, legfelső emeleti, erkélyes panel lakás várja új tulajdonosát.

Az épület szigetelt, kívül-belül felújított,a lakás szintén komoly, teljes körű felújításon esett át.A lakásba zárt, a szomszéddal közösen használt erkélyről léphetünk be. Az L alakú előszobából nyílik az összes helyiség, a teljesen felújított, ablakos konyha, a két szoba, a fürdőszoba és a különálló WC. A kisebbik szoba erkélyes .A lakásban távfűtés van, a nyári melegben klíma gondoskodik a kellemes hőmérsékletről.

A házban tároló, illetve garázs kérhető, jelenleg nem tartozik a lakáshoz.A környék zöld, sok a park és itt található a hangulatos kikapcsolódást nyújtó Mély-tó.

Infrastruktúra szempontjából is tökéletes, a buszmegálló (Köbánya-Kispest és az Örs vezér tere felé) 2 perc séta, az üzle..."|https://ingatlan.com/34910085|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|Jó lakónegyed|1.15|||
43|Budapest X. kerület, Bányató utca 22.||58,50 M Ft||68 m2|841 726 Ft / m2|||4|felújítandó|távfűtés|3 m2|utca, közterület - ingyenes|maganszemely|1|"A X. kerületben, a MEGÚJULT és KÖZKEDVELT ÚJHEGYI LAKÓTELEPEN tulajdonostól eladó egy 68 nm-es, 3 szobás, ERKÉLYES összkomfortos panellakás.

A lakás vonzó környezetben, a megszépült ÚJHEGYI SÉTÁNY MELLETT, a Bányató utcában helyezkedik el.

Az eladó lakás a 4. emeleten található, megközelítése zárható lépcsőházi folyosóról lehetséges, ezért KÜLÖNÖSEN BIZTONSÁGOS. VILÁGOS, KÖRBENAPOZOTT, a magas emeleti elhelyezkedése biztosítja, hogy egész nap bőségesen kapjon természetes fényt.

A lakás NAGYON JÓ ELRENDEZÉSŰ, a szobák külön nyílóak és körbe is járhatók. A konyha is ablakos (150x150 cm), ezáltal jól szellőztethető és világos. A nappali és az erkélyes szoba PARKOS KÖRNYEZETRE NÉZ. A fürdőszoba és a WC külön helyiségben van.

Állapotát tekintve időszerű a korszerűsítése, felújítása, amit a ..."|https://ingatlan.com/34902025|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3|||
44|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||69,50 M Ft||68 m2|992 857 Ft / m2||1950 és 1980 között|4|felújított|távfűtés|4 m2||ingatlaniroda|10|"Családi otthon nyugalomban, kényelemben – azonnal költözhető lakás Újhegy szívében

Budapest X. kerületének egyik legcsendesebb, mégis kiválóan ellátott részén, Újhegyen kínálunk megvételre egy igényesen felújított, 68 négyzetméteres, háromszobás lakást. Az ingatlan egy gondosan karbantartott társasházban található, barátságos szomszédsággal, nyugodt környezetben.

A lakás praktikus elrendezésű: három világos és jól szeparált szoba biztosít kényelmet egy többtagú család számára is. A tágas nappali a lakás központi eleme, amelyhez egy 4 négyzetméteres erkély is kapcsolódik – ideális hely a pihenéshez, egy nyugodt reggelihez vagy esti kikapcsolódáshoz.

Az ingatlan műszaki állapota kiváló. A felújítás során kiemelt figyelmet fordítottak a részletekre, a nyílászárók integrált szúnyoghálóval é..."|https://ingatlan.com/34885012|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Prémium villa negyed|1.3|||
46|Budapest X. kerület, Gőzmozdony utca||51,50 M Ft||50 m2|990 384 Ft / m2||1981 és 2000 között|4|felújítandó|távfűtés|4 m2|utca, közterület - ingyenes|maganszemely|0|"Eladó Kőbánya-Újhegyen, kiváló helyen, a Gőzmozdony utcában, egy szigetelt társasházban lévő, IV. emeleti, 2 szobás, erkélyes, teljesen felújítandó lakás.

A lakás a helyi viszonyoknak megfelelően klasszikus elrendezéssel bír: 2 különnyíló szobája van(a kisebbiken keresztül érhető el az erkély), a konyha ablakos, valamint a mellékhelyiség és a fürdőszoba külön találhatóak. Délnyugati fekvésének köszönhetően fényárban úszik.

Lokáció szempontjából remek választás, mivel több bevásárlási(pl.: Family Center, Penny vagy akár a KÖKI), kikapcsolódási(Bánya-tó park) lehetőségünk van. Tömegközlekedés szempontjából a KÖKI-től induló buszok, valamint vonatok állnak a rendelkezésünkre, aminek köszönhetően a Nyugati pályaudvar kb. 15 perc alatt érhető el, de az M3 metró miatt a belváros több pontja is..."|https://ingatlan.com/34880807|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-4.0|0|0|0|0|0|0|0|1|0.0|4.0|-4.0|Központi terület|1.0|||
47|Budapest X. kerület, Szövőszék utca||48,90 M Ft||37 m2|1 286 842 Ft / m2||||||2 m2||maganszemely|0|"Teljeskörűen feljított, első lakásnak minden tekintetben tökéletes ingatlan szeptemberi átadással eladó!

Az ingatlan felújítása jelenleg is zajlik, amelynek során az ingatlanban megtörténik
- minden nyilászáró cseréje;
- a teljes villanyhálózat felújítása;
- a teljes gépészet (fürdőszoba, wc, radiátorok) felújítása és cseréje;
- új, gépesített (whirpool gépekkel - mosógép, mosogatógép, sütő, mikró, főzőlap - felszerelt) divian konyha kialakítása.

A lokáció tökéletes, sétatávolság a közeli tó, illetve pár százméter a metroállomás, valamint a Köki-terminál bevásárlóközpont is.

A hirdetett ár kedvezményes, előértékesítési ár. Csapjon le rá mielőtt még a START program felveri a hasonló kategóriájú lakások árát."|https://ingatlan.com/34880388|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3|||
48|Budapest X. kerület, Oltó utca||59 M Ft||49 m2|1 204 081 Ft / m2|||3||távfűtés||utca, közterület - ingyenes|ingatlaniroda|15|Felújított, klímás lakás loggiával a 10. kerületben - azonnal költözhető! Budapest 10. kerületének csendes, mégis jól megközelíthető részén eladó egy 3. emeleti, igényesen felújított panel lakás, amely tökéletes választás lehet otthonnak vagy befektetésnek egyaránt. A lakás két teljes értékű szobával rendelkezik, amelyek egymásból és külön is nyílnak , ideális elosztás családoknak, pároknak vagy kiadásra. A konyha és a fürdőszoba teljes körűen felújított, modern, esztétikus burkolatokkal. Az egész lakás új hidegburkolatot kapott, így valóban friss, gondozott benyomást kelt. A komfortot távfűtés, klíma, valamint műanyag nyílászárók redőnnyel és szúnyoghálóval biztosítják - a kellemes hőmérséklet és a nyugodt, csendes környezet garantált. A lakáshoz tartozik egy tágas, nyitott loggia, amely ...|https://ingatlan.com/34862733|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Prémium villa negyed|1.3|||
50|Budapest X. kerület, Mádi utca||69,90 M Ft||57 m2|1 184 745 Ft / m2|1 + 2 fél|||||4 m2||maganszemely|0|"INGATLANOSOK SEGÍTSÉGÉT köszönettel NEM KÉRJÜK mert már van!!!!

A X. kerületben az Újhegyi lakótelepen, Mádi utcában eladó egy 57 négyzetméteres, tehermentes, VII. emeleti szép lakás .
A ház szigetelt, ezért a fűtési költség alacsony!
A lakásban külön konyha, nappali, étkező, két hálószoba, fürdőszoba, illetve egy különálló WC található. Valamennyi szoba külön nyílik.
Az előszoba és a konyha, az étkező, valamint a WC és fürdőszoba járólapokkal burkoltak, a szobákat laminált padló borítja.
A lakás világos, észak-keleti fekvésű, a burkolt erkéllyel rendelkezik.

A lakás fűtése egyedi mérésű távfűtés.
A víz és villany szintén egyedi elszámolás alapján történik.
A nyílászárók műanyagok, jól zárnak, redőnyözöttek. A lakás rezsije kedvező, a közös költség 16.400 Ft/hó.

Tehermentes,rövid időn b..."|https://ingatlan.com/34848751|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3|||
51|Budapest X. kerület, Oltó utca||63,89 M Ft||68 m2|906 241 Ft / m2||||||5 m2||maganszemely|1|"Magánszemélytől eladó egy tehermentes, tágas, világos, 68 nm alapterületű lakás 5 nm-es fedett erkéllyel együtt.
Az ingatlan Budapest X. kerületében, az Oltó utcában található kiváló közlekedés mellett, mégis csendes, parkosított zöldövezeti részen.
A lakás fűtése gazdaságosan távhővel szabályozható, a fürdőszoba teljes felújításon esett át, az ablakok és az erkélyajtó árnyékolását redőny és reluxa biztosítja.
A konyha gépesített (automata mosógép, 2 hűtő, új sütő és mikró), a szobák bútorozottak, az előszobában beépített szekrények biztosítják a csomagok elhelyezését, a fürdőszoba és WC külön helyiségben került kialakításra.
A lakás méretei miatt tökéletes megoldás lehet nagycsaládosok részére is.
Gépkocsiparkolás a társasház előtt kialakított ingyenes parkolóban biztosított, ahol elektro..."|https://ingatlan.com/34845475|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|3.2|2.5|0.0|0|0|0|1|0|1|1|0|9.5|0.0|9.5|Prémium villa negyed|1.3|||
53|Budapest X. kerület, Szövőszék utca||69,90 M Ft||68 m2|998 571 Ft / m2|||6|jó állapotú|távfűtés|4 m2||maganszemely|1|"Budapest X. kerületének közkedvelt részén, az Újhegyi lakótelepen eladó egy 68 négyzetméteres 3 szobás, 6. emeleti, klimatizált, jó állapotú, erkélyes panelprogramos lakás, liftes, rendezett társasházban.
Az ingatlan tehermentes, hitelezhető.
A 40 éves gyönyörű fák, a zöld környezeten kívül tovább növeli az ingatlan vonzerejét, a lakótelep kiváló ellátottsága: A megújult Újhegyi sétányon keresztül elérhető a felnőtt- és gyermekorvosi rendelő, gyógyszertár, óvódák-iskolák, posta, lottózó, cukrászda, fagyizó, edzőterem, kutyafuttató, Auchan bevásárlóudvar, Lidl, Penny, Interspar, Spar, DM, McDonalds.
Több autóbuszjárattal, gyorsan megközelíthető Kőbánya-Kispest (KÖKI) metró- és vonatállomás, az Örs Vezér tér metró- és hévállomás is. Buszok: 68, 85, 85E, 117, 268, éjszakai 909, 968.
A környék..."|https://ingatlan.com/34838047|||||||||||||||||||||0.0|8.0|0.0|0.0|2.8|0.0|0.0|0.0|0|1|0|0|1|0|0|0|10.8|0.0|10.8|Általános terület|1.0|||
54|Budapest X. kerület, Mélytó utca 8.||55 M Ft||49 m2|1 089 108 Ft / m2||1981 és 2000 között|10|felújított|távfűtés|3 m2|utca, közterület|maganszemely|0|"Csak cserélek!
Elcserélem X. kerületi 2 szobás panel lakásomat amit most újítottunk fel. Napos csendes zöld környezetben van a Mélytó mellett. Kérek Újpalotán szintén panel lakást ami magas emeleti 1 vagy 2 ill. 1+2 félszobás. LEHET ÖNKORMÁNYZATI! Ráfizetést kérek!
Ingatlanost nem kérek!"|https://ingatlan.com/34836919||D|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3|||
55|Budapest X. kerület, Szőlővirág utca||54 M Ft||49 m2|1 069 306 Ft / m2||1950 és 1980 között|8|jó állapotú|távfűtés, hűtő-fűtő klíma|3 m2|utca, közterület - ingyenes|maganszemely|1|"Eladásra kínálom szeretett lakásunkat az Újhegyi lakótelepen!

A ház, amelyben a lakás található egy az 1970-es években épült, panelprogramban részt vett 10 emeletes társasház. A társasház anyagi helyzetet rendezett, a közösképviselet elérhető, segítőkész, minden fontos információról időben tájékoztatják a tulajdonosokat. Műszaki probléma esetén a ház diszpécser szolgálata éjjel nappal elérhető, törekednek a hibák gyors kijavítására. A lakóközösség és a szomszédság barátságos, a lépcsőház kamerával felszerelt, kulturált és tiszta. Az épületben található lift rendszeresen karbantartott, üzembiztos.
A közösköltség 13000 Ft/hó + 3000 Ft/hó felújítás

A lakás a 8. emeleten található, jó, beköltözhető állapotú, a rezsi alacsony és mivel minden oldalról vannak szomszédos lakások így a leghidegeb..."|https://ingatlan.com/34836792|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Általános terület|1.0|||
