id,cim,reszletes_cim,teljes_ar,reszletes_ar,terulet,nm_ar,szobak,epitesi_ev,szint,ingatlan_allapota,futes,erkely,parkolas,hirdeto_tipus,kepek_szama,leiras,link,telekterulet,energetikai,ingatlanos,telefon,allapot,epulet_szintjei,kilatas,parkolohely_ara,komfort,legkondicionalas,akadalymentesites,furdo_wc,tetoter,pince,parkolo,tajolas,kert,napelem,szigeteles,rezsikoltség
25,"Érd, Érdliget",,"139,90 M Ft",,148 m2,945 270 Ft / m2,,2025,,új építésű,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,13,"4 HÁLÓ + NAGY NAPPALI, REMEK INFRASTRUKTÚRA MÉGIS CSENDES KERTVÁROSI KÖRNYÉK, HŐSZIVATTYÚS FŰTÉS! KÜLÖNÁLLÓ CSALÁDIHÁZ!
AZ ÉRD-LIGETI VASÚTI MEGÁLLÓTÓL 10 PERC SÉTA TÁVOLSÁGBAN! ÉRD-LIGET kerületében, 582 m2-es különálló telekre épült, új építésű, 1 szintes 4 SZOBA+NAPPALIS, dupla fürdőszobás 137 m2 lakóterületű családi ház eladó. (m2-re vetítve egy ikerház árán, külön ház és helyrajzi számon szereplő, önálló családiházat vásárolhat)
Az ingatlan 137 m2 hasznos lakóterületű + 22 m2-es terasz tartozik hozzá. Tágas amerikai-konyhás nappali (48 m2); 4 hálószoba (11,,7 m2) az egyikhez saját zuhanyzó-WC-vel (3,9 m2); házkapcsolatú garázs (20 m2); fürdőszoba-WC (8,9 m2); előszoba (4,8 m2) található benne. A nappaliból közvetlen kapcsolat nyílik a 22 m2-es hátsó kert felé néző teraszra.
A ház Poro...",https://ingatlan.com/34679105,582 m2,A++,,,,,,,,,,,,,,,,,,
26,"Érd, Kutyavári utca 2/B",,80 M Ft,,131 m2,610 687 Ft / m2,4 + 1 fél,1981 és 2000 között,,felújítandó,,,,ingatlaniroda,1,"Érdliget központi részén eladásra kínálunk egy 131 m2-es, kétszintes, felújítandó ikerházfelet.
Telek terület: 306 m2.

Az épület az 1990-es években épült. Alapja monolit beton, a pinceszint monolit vasbeton falazatú, a határoló falazata hőszigetelés nélküli tégla.

A lakás az alábbi helyiségekből áll:
Pinceszint:
- két raktárhelyiség (17,10 m2 és 8,88 m2)
Földszint:
- üvegezett szélfogó (1,14 m2)
- wc (1,41 m2)
- fürdő (5,09 m2)
- kamra (1,24 m2)
- nappali (22,39 m2)
I. Emelet
- wc (1,21 m2)
- négy szoba (8,53 m2, 12,16 m2, 12,71 m2 és 9,72 m2)
- erkély (6,25 m2)

A hirdetésben megjelölt ár nettó ár.
Az ingatlan meghirdetése nem jelent értékesítési kötelezettséget.

További információkért, illetve megtekintéssel kapcsolatban várjuk megkeresését.",https://ingatlan.com/34897917,306 m2,,,,,,,,,,,,,,,,,,,
27,"Érd, Bor utca",,114 M Ft,,177 m2,644 067 Ft / m2,,1981 és 2000 között,,jó állapotú,gázkazán,,,ingatlaniroda,14,"Eladó Családi Ház Érden, Érdliget Csendes Övezetében!

Eladásra kínálunk egy remek állapotban lévő, 2000-ben épült, önálló családi házat Érd Érdliget részén, csendes, családi házas környezetben. Az ingatlan 557 m²-es telken helyezkedik el, és nettó 177 m² hasznos alapterülettel rendelkezik.

A ház földszintjén található egy tágas és hangulatos átriumos nappali konyhával, valamint egy előszoba, egy hálószoba, egy wc és egy fürdőszoba. A nappali nagy teraszajtaja elektromos redőnnyel van felszerelve. A garázs egy autó beállására alkalmas, és szintén elektromos ajtóval rendelkezik.

Az emeleti szintre felérve a galériáról lenézhetünk a nappalira, itt kb. 6 méteres a belmagasság. Ezen a szinten található még egy nagy nappali konyhával, három hálószoba és egy fürdőszoba is. A fenti szint melegv...",https://ingatlan.com/34316583,557 m2,,,,,,,,,,,,,,,,,,,
28,"Érd, Érdliget",,"69,90 M Ft",,100 m2,699 000 Ft / m2,,1950 és 1980 között,,közepes állapotú,"gázkazán, vegyes tüzelésű kazán",,udvari beálló,ingatlaniroda,15,"Jó állapotú kádár kocka Érdligeten – remek közlekedéssel és gyümölcsfás kerttel!

Eladó Érden, az Érdligeti vasútállomástól mindössze 100 méterre, egy karbantartott állapotú kádár kocka. Az ingatlan egyik legnagyobb előnye a kiváló közlekedés: a vasúttal Budapest belvárosa mindössze 20 perc alatt elérhető, így ideális választás lehet azoknak, akik nyugalmat szeretnének, és autó nélkül sem mondanának le a főváros közelségéről.
Az ingatlanhoz egy tágas kert is tartozik, gyümölcsfákkal – tökéletes választás azoknak, akik saját zöld oázisra vágynak, vagy akár kertészkedésbe fognának.

Főbb jellemzők:
· Kádár kocka típusú 88 nm-es családi ház és a hozzá épített épület.
. 792 nm telek
. 3 szoba
. Melléképületek
· Gyalog 1 perc a vasútállomás
· Budapest belvárosa 20 perc alatt elérhető
· Korszerű...",https://ingatlan.com/34844050,792 m2,,,,,,,,,,,,,,,,,,,
29,"Érd, Érdliget",,114 M Ft,,176 m2,647 727 Ft / m2,4 + 1 fél,1981 és 2000 között,,jó állapotú,gázkazán,,önálló garázs - benne van az árban,ingatlaniroda,19,"KIVÁLÓ ELOSZTÁSÚ, TÁGAS CSALÁDI HÁZ ÉRDLIGETEN

Érd egyik legnépszerűbb negyedében, Érdliget egy kellemes, csendes mellékutcájában kínálom megvételre ezt az egyedi stílusú, 2000-ben épült, 5 szobás családi házat.

A ház egy 557 m2 alapterületű telken helyezkedik el, nettó hasznos alapterülete 176 m2.

Egyedi stílusát a hatalmas belmagassággal rendelkező nappaliban megépített impozáns galéria adja, az ingatlan kialakítására a tudatosság és élhetőség jellemző.

A kert mérete tökéletes teret biztosít egy mai, modern család kényelmes mindennapjaihoz. Kellő hely jut a pihenésre, télikert vagy konyhakert kialakítására, grillezésre, valamint a gyermekes családok önfeledt kikapcsolódására.

Ezt az ingatlant jó szívvel ajánlom:
- gyermekes, akár többgyermekes családoknak,
- fiatal felnőtt gyermekek...",https://ingatlan.com/34362535,557 m2,,,,,,,,,,,,,,,,,,,
30,"Érd, Érdliget",,224 M Ft,,236 m2,949 152 Ft / m2,,2024,,,"hőszivattyú, mennyezeti hűtés-fűtés, padlófűtés",,önálló garázs,ingatlaniroda,18,"ELADÓ ERDŐRE NÉZŐ, NAPPALI + 4 SZOBÁS, DUPLA GARÁZZSAL RENDELKEZŐ CSALÁDI HÁZ ÉRDLIGET LEGKERESETTEBB RÉSZÉN!

M7-ES AUTÓPÁLYA GÉPKOCSIVAL 2 PERC ALATT, ONNAN BUDAPEST 10 PERC ALATT ELÉRHETŐ!

Várható átadás: 2025. SZEPTEMBER

A ház nappali + 4 szobás, duplakomfortos, kényelmes elosztású. A nappali galériás, elegáns a magas mennyezetével és a nyitott lépcsővel. A teraszra a nappaliból és az étkezőből egyaránt kijuthatunk.
A tájolás optimális, a reggeli óráktól beáramlik a napfény, a hátsó terasz délnyugati tájolású, az erdőre néző emeleti tetőterasz a reggeli órákban kap napfényt.
A ház rövid műszaki paramétereit lentebb ismertetem, részletes műszaki leírást és tartalomjegyzéket érdeklődés esetén küldök.

Helyiséglista:

Földszint:
- Garázs 38.60nm
- Előtér/gardrób 8.30nm
- Közlekedő 2.50n...",https://ingatlan.com/34160789,236 m2,A++,,,,,,,,,,,,,,,,,,
31,"Érd, Kutyavári utca",,"129,99 M Ft",,152 m2,855 197 Ft / m2,,1950 előtt,,közepes állapotú,"cserépkályha, gázkazán",,önálló garázs - benne van az árban,ingatlaniroda,6,"Érdliget részén kiváló elhelyezkedéssel, eladó egy 1szintes, netto 152 nm-es családi ház.

Az ingatlan főbb jellemzői:

Elhelyezkedés: Központi elhelyezkedés, buszmegálló , új Lidl és a Casino üzletház 700m-re .

Telek: 2678nm

Az ingatlan jó alapokra épült , szerkezetileg stabil, alápincézett. Jelenlegi elosztása 5 szoba , fürdő, wc, közlekedő, főzőfülke, kamra .

A ház körbejárható , világos , körbenapozott.
A száraz pince és a melléképület sok tárolóhelyet biztosít .

Műszaki tartalom:
-B 30-as tégla
-cserép fedés
- részben műanyag nyílászárók
-riasztórendszer távfelügyelettel
-garázs
-fedett kocsibeálló
-cserépkályha és Fég kazán

Per-, igény- és tehermentes, a vételár megfizetése után, az egyeztetett kiköltözési határidővel birtokba vehető.

További információért és megtekintésért kér...",https://ingatlan.com/34773683,2678 m2,,,,,,,,,,,,,,,,,,,
32,"Érd, Budafoki út",,"101,80 M Ft",,82 m2,1 241 463 Ft / m2,,2025,,új építésű,hőszivattyú,,önálló garázs,ingatlaniroda,9,"Gyönyörű új építésű családi ház várja első tulajdonosát Érdligeten, a Budafoki út elején!

Itt tényleg kiváló a közlekedés! Az M6 és az M0-ás autópálya percek, vonatállomás 8, buszmegálló 2 perc alatt elérhető.
A közelben számos bölcsőde, óvoda, általános- és középiskola, bevásárlási- és kikapcsolódási lehetőség található.

Téglából épülő Virágzó Völgy típusházunkat kis családosok számára ajánlom!

Jól átgondolt elosztása mindenki kényelmét szem előtt tartja. 2 külön nyíló hálószobája mellett előszoba, mosókonyha, teljes értékű fürdőszoba és vendég mosdó kapott helyet. Külön figyelmet kapott az étkező, nappali és a konyha elhelyezése. A házhoz tartozik 15 négyzetméternyi terasz, fúrt kút, valamint az ár magában foglalja a térkövezést.

Igény szerint hozzáépíthető 1 beállásos garázs + 9.799...",https://ingatlan.com/34706701,949 m2,A+,,,,,,,,,,,,,,,,,,
33,"Érd, Érdliget",,"65,90 M Ft",,77 m2,855 844 Ft / m2,,2001 és 2010 között,,felújított,gázkazán,,udvari beálló,ingatlaniroda,19,"Érd-liget kedvelt részén aszfaltos útról megközelíthető és jó közlekedés mellett eladó önálló ingatlan.
Az ingatlan szomszédságában található szabadidő park és tó, mely pár perc sétára elérhető.
Pár perc alatt elérhető az M6 autópálya, de gyalogosan is elérhető a tömegközlekedési útvonal, mely az Etele tér felé közlekedő buszokat jelenti, valamint vasúti megálló.
Az ingatlan könnyűszerkezetes külső falakkal lett építve, valamint Porotherm 10 belső válaszfalakkal lett kialakítva. Emellett kapott egy 6 cm drivyt szigetelést a homlokzat. A szín felvitele hátra van.
Egyedi gáz cirkó fűtéssel rendelkezik és emellett klímával szerelt.
Teljes felújításon átesett ingatlan, miden gépészeti, villanyszerelési és hőtechnikai szempontból. Statikai és esztétikai állapota korának megfelelő állapotú.
A te...",https://ingatlan.com/34500828,603 m2,,,,,,,,,,,,,,,,,,,
34,"Érd, Érdliget",,"85,90 M Ft",,172 m2,499 418 Ft / m2,,1950 és 1980 között,,jó állapotú,"gázkazán, vegyes tüzelésű kazán",,udvari beálló,ingatlaniroda,21,"REMEK VÁLASZTÁS NAGYCSALÁDOSOKNAK IS, KÉT GENERÁCIÓ SZÁMÁRA EGYARÁNT!
Eladó Érdliget egyik csendes utcájában, két generációnak kialakított családi ház.
535 m2 -es összközműves telken elhelyezkedő, az 1963-ban épült, 172 m2 alapterületű ház, család barát elosztású, napfényes helyiségek, jó állapot, kedvező rezsi jellemzi.

A ház külsőleg 5 cm szigeteléssel, friss külső színezéssel rendelkezik.
2020-ban történt a házon felújítás,ami által történt a külső színezés, illetve belül teljes újrafestés, és az egész áramrendszer újrakábelezése ( már a réz kábelekkel).
Nyílászárók műanyag kivitelűek, két rétegű thermo üvegezéssel.

A lakások szintenkénti felosztása a következőképpen alakul:
-Földszinti helyiségek:Teraszról érkezünk be a házba, ahol található az Előszoba + fürdő + konyha + nappali, ét...",https://ingatlan.com/34625395,535 m2,,,,,,,,,,,,,,,,,,,
35,"Érd, Ligetszépe utca 6.",,129 M Ft,,250 m2,516 000 Ft / m2,5 + 1 fél,1981 és 2000 között,,jó állapotú,"gázkazán, hűtő-fűtő klíma",,önálló garázs - benne van az árban,ingatlaniroda,17,"Érd Diósd határán a Ligetszépe utcában, 4 hálószobás + nappalis, konyhás 2 szintes nagy teraszos, panorámás ikerház eladó.

Cirkó fűtéses (2023-as gázkazán), 4 hűtő-fűtő klíma 1 éve került beszerelésre.

Azonnal költözhető.",https://ingatlan.com/34917899,250 m2,,,,,,,,,,,,,,,,,,,
36,"Érd, Érdliget",,"129,99 M Ft",,224 m2,580 312 Ft / m2,4 + 2 fél,2001 és 2010 között,,jó állapotú,"gázkazán, hűtő-fűtő klíma, kandalló",,,ingatlaniroda,23,"Eladásra kínálok Érdliget Diósddal határos részén, ősfás környezetben, 545 nm-es panorámás telken, egy belső kétszintes (lakószint+ tetőtér) 224 nm-es 6 szobás családi házat 129.99 MFt-ért. (Azonosító:5831).

Az ingatlan Érdliget egyik legszebb részén, aszfaltozott utcában, csendes, nyugodt, természetközeli környezetben helyezkedik el.
Az igényesen parkosított déli tájolású kertben egy panorámás tágas terasz (fedett 28 nm) biztosítja, hogy a szabadban eltöltött idő kellemes élmény legyen.
Az előkertben viacolorral burkolt autóbeálló biztosítja 3-4 autó parkolását.

Az épület két lakószint+szuterénes kialakítású, 2004-ben 38-as Porotherm téglából épült, homlokzata szigetelt kőporos vakolattal ellátott, tető héjazata zsindely fedésű.
Időközben felújítás történt: burkolatok, szaniterek cseréj...",https://ingatlan.com/34850549,224 m2,,,,,,,,,,,,,,,,,,,
37,"Érd, Érdliget",,149 M Ft,,190 m2,784 210 Ft / m2,,,,jó állapotú,"gázkazán, kandalló",,önálló garázs,ingatlaniroda,23,"Eladásra kínálok Érd központjában egy két szintes, két generáció számára is alkalmas medencés családi házat.

A 190nm-es  ház egy 1100 nm területű telken található.

Az alsó szinten előtér, nappali, konyha, étkező, egy hálószoba llletve egy zuhanyzós-kádas fürdőszoba van.

A felső szinten találunk egy nappalit,3 hálószobát, egy fürdőt és egy kisméretű konyhát, illetve egy teraszt.

A kertbe elektromos kapun jutunk be, itt megtalálható egy dupla garázs, medence, halastó, bárpult, 3 terasz.

A házban gázkazán és kandalló gondoskodik a fűtésről illetve klíma is van.

A házhoz tartozik egy pince illetve egy gépház-mosókonyha is.

Irányára: 149M

Várom hívását!",https://ingatlan.com/34324458,1100 m2,,,,,,,,,,,,,,,,,,,
38,"Érd, Érdliget",,"97,90 M Ft",,90 m2,1 087 777 Ft / m2,,2001 és 2010 között,,jó állapotú,"gázkazán, hűtő-fűtő klíma",,udvari beálló,ingatlaniroda,27,"Tágas terek, kiváló lokáció!

Érdliget szélén a városközponttól pár perc sétatávolságra keresi új tulajdonosát ez az anno saját részre tervezett és épített családi ház.
A 2000 évek elején épült ingatlan 90 nm- en két tágas szobával, nagy fürdővel külön mellékhelyiséggel és a ház központi részét elfoglaló nagy nappalival ,amerikai konyhával biztosìtja az itt lakók kényelmét.
Minden helyiség jól és kényelmesen kihasználható, komfortos otthona az itt élőknek.
A ház a korának megfelelő állapotú, kisebb esztétikai felújítást lehet eszközölni.( szobákban laminált padló csere)
Az ingatlan fűtését kondenzációs gázkazán látja el, radiátoros hőleadókkal.
A nappaliban egy elektromos kandalló ad kellemes hangulatot , a klíma pedig a nyári meleget enyhíti.
A biztonságról a riasztórendszer gondoskodik.
...",https://ingatlan.com/34887451,536 m2,,,,,,,,,,,,,,,,,,,
39,"Érd, Érdliget",,224 M Ft,,170 m2,1 317 647 Ft / m2,,2024,,,"hőszivattyú, hűtő-fűtő klíma",,önálló garázs - benne van az árban,ingatlaniroda,9,"ÉRDLIGET, ÁLOMOTTHON, ŐSFÁS KÖRNYEZET, MODERN ELEGANCIA ÉS MINŐSÉG!

Érdliget legszebb részén, aszfaltozott utcában, erdőre panorámás, 870 nm telken, új építésű, 170 nm-es, belső két szintes, 4 szoba+ amerikai konyhás nappalis, két fürdőszobás, önálló családi ház 224 MFt-ért kulcsra készen eladó.(5778)

Az ingatlan egyedi tervezésű, rendkívül jó elosztású, minőségi kivitelezésű, megbízható cég által épített.
A környék csendes, ősfás környezet, infrastruktúra autóval 5 perc alatt elérhető.

Rövid műszaki tartalom:

-beton sávalap, 30-as Porotherm tégla, 10 cm tégla válaszfal.
-monolit vasbeton födém, belső gépi vakolás.
-szigetelés: aljzat 10 cm lépésálló, lábazat 20 cm xps, külső homlokzat 20 cm grafitos szig. lapostető: 35-22 cm lépésálló szigetelés, megfelelő rétegrend.
-homlokzat: ragas...",https://ingatlan.com/34404101,870 m2,,,,,,,,,,,,,,,,,,,
40,"Érd, Érdliget",,"139,90 M Ft",,159 m2,879 874 Ft / m2,,2023,,újszerű,"gázkazán, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,19,"PANORÁMA! CSODÁLATOS ERDŐS KÖRNYEZET! CSENDES, 0 ENERGIA FELHASZNÁLÁSÚ IKERHÁZ! RÖVIDESEN KÖLTÖZHETŐ!

Érdliget nagyon szép utcájában, 1252 nm-es telken épült ikerház mindkét lakása, nettó 158.84 nm-es (garázzsal együtt), 4 szoba + nappalis, hatalmas teraszokkal rendelkező ikerházi lakás, 626 nm-es saját használatú telekrésszel, magas műszaki kivitelben, cégtől, kulcsrakészen 139.9 MFt-ért/lakás eladó. (azonosító: 5391)

Érdliget ezen részét méltán nevezik ""Érd Rózsadobjának"" hiszen a terület a város egyik legértékesebb és egyik legszebb része, csodálatos panoráma, friss levegő, nyugodt erdős környezet jellemzi.

Az épület a terület adottságait maximálisan kihasználva kerül kialakításra. Az ikerház 2 lakószintből és egy garázsszintből áll. A telek széles utcafrontjának köszönhetően az épül...",https://ingatlan.com/32081902,626 m2,,,,,,,,,,,,,,,,,,,
41,"Érd, Balatoni út",,345 M Ft,,420 m2,821 428 Ft / m2,,2001 és 2010 között,,jó állapotú,"gázkazán, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,24,"PÁRATLAN MINŐSÉG ÉRDLIGET SZÍVÉBEN!!!

Eladásra kínálok Budapesttől 15 km-re, Pest megye legnagyobb településén, Érdligeten a Balatoni úton VT-1/l-es övezetben ( mely azt jelenti, hogy a telek területének 50%-a beépíthető), 1344 nm-es parkosított telken, 257 nm lakóterű 1 szint + tetőteres + 167 nm-es szuterénnel rendelkező, 4 szoba + 2 nappalis, kúria jellegű családi ház, nagy teraszokkal és erkélyekkel megvásárolható.
Az ingatlan déli tájolású, tökéletesen körbenapozott , földszinti terasza intim! Külön épületben 30 nm-es (2 helyiséges) tárolóval, tehermentes, extrákkal 345 MFt-ért eladó! (azonosító: 4146)

Extrák: szauna, klíma, riasztó, eredeti 200 éves barokk márványkandalló öntöttvas domborműves tűztérrel, egyedi gyártású beltéri ajtók, márvány burkolatok, márvány lépcső, barokk stíl...",https://ingatlan.com/25829948,420 m2,,,,,,,,,,,,,,,,,,,
42,"Érd, Felsővölgyi út",,224 M Ft,,172 m2,1 302 325 Ft / m2,,2025,,,"mennyezeti hűtés-fűtés, padlófűtés, hőszivattyú",,önálló garázs - benne van az árban,ingatlaniroda,13,"Megvételre kínálok Érdligeten 870nm-es telekterületen elhelyezkedő 172nm-es, NAPPALI+4 szobás, újépítésű családi házat.

Fontosabb információk az ingatlanról:
- A mai kor technológiájával megépült családi ház
- Főfalazata Porotherm 30 Xtherm vázkerámia
- Válaszfalak Porotherm 10 N+F vázkerámia
- Homlokzati hőszigetelése 15cm EPS
- Nyílászárói VECA típusu 3 rétegű 7 légkamrás
- 11KW-os Daikin hőszivattyú berendezés, hőleadás padló-mennyezeti, hűtés mennyezeti
A vételár az alábbiakat is tartalmazza:
- Hideg-meleg burkolatok 15eFt/nm értékhatárig szabadon választható
- Beltéri ajtók 150eFt/db értékhatárig szabadon választhatók
- Minőségi szaniterek (részletes lista kérésre)

A teljes műszaki dokumentáció és felszerelési lista, vállalási kötelezettségekkel kapcsolatban keressen bizalommal!",https://ingatlan.com/34465347,870 m2,A++,,,,,,,,,,,,,,,,,,
43,"Érd, Beléndek utca",,269 M Ft,,177 m2,1 519 774 Ft / m2,,2013,,,"hőszivattyú, mennyezeti hűtés-fűtés",,önálló garázs,ingatlaniroda,19,"KIVÉTELES LEHETŐSÉG: ERDŐSZÉLI ÁLOMOTTHON ÉRDLIGETEN

ÉRD legszebb és legjobb részén, hangulatos, CSENDES utcában eladó egy minden igényt kielégítő, modern, NAPELEMES, HŐSZIVATTYÚS, OKOS CSALÁDI HÁZ 3 hálószobával, 2 fürdőszobával, gardróbszobával, kandallóval, épített kerti nappalival és gyönyörűen parkosított, ŐSFÁS kerttel!

A HÁZRÓL

Az 1043 nm telekre épült 177nm hasznos alapterületű, egyszintes, a telken körbejárható, ÚJSZERŰ, ÖNÁLLÓ CSALÁDI HÁZ korszerű technológia és magas minőségű anyagok felhasználásával épült.

2db távolból is irányítható, elektromosan működő kapun lehet gépkocsival behajtani, az egyállásos 20nm-es GARÁZS mellett a térkővel burkolt kocsibeállón akár további 3-4 személyautó is elfér. A kényelmes előszobából szintén megközelíthető a garázs és egy praktikus kamra h...",https://ingatlan.com/34551119,1043 m2,,,,,,,,,,,,,,,,,,,
44,"Érd, Érdliget",,"99,50 M Ft",,260 m2,382 692 Ft / m2,,1981 és 2000 között,,felújítandó,"gázkazán, vegyes tüzelésű kazán",,önálló garázs - benne van az árban,ingatlaniroda,30,"Érdliget-Diósd határánál, aszfaltozott utcában eladó 1092 m2-es telken egy 260 m2-es, 3 szintes, 6 szobás, több generációra alkalmas, felújítandó családi ház, nagy garázzsal.

A ház 1989-ben 30-as gázbeton téglából épült, beton födémmel.
A tető fedése Bramac betoncserépből készült, a zárófödémhez 15 cm-es üveggyapot szigetelés került.
Az ingatlanban az építéskor beépített fa szerkezetű nyílászárók találhatóak.
A fűtésről egy régi gázkazán, valamint egy vegyestüzelésű kazán gondoskodik, radiátoros hőleadással, a meleg víz ellátásért egy villany bojler felel.

Az ingatlan statikailag jó állapotban van, azonban műszaki és esztétikai felújításra szorul.
Több generáció kialakítására is alkalmas, a tetőtér egy külső lépcsőről is elérhető, illetve a pince szinten a nagy méret és a 2 külön bejárat...",https://ingatlan.com/34624642,260 m2,,,,,,,,,,,,,,,,,,,
45,"Érd, Érdliget",,86 M Ft,,90 m2,955 555 Ft / m2,2 + 1 fél,1950 és 1980 között,,jó állapotú,gázkazán,,udvari beálló,ingatlaniroda,26,"Álom családi ház Érd központjában!

Készüljön fel a tökéletes családi életre! 90 nm-es összkomfortos ház várja Önöket Érd központjától mindössze 1 km-re. Vonatállomás 5 perc, iskola és óvoda a közelben. Két hálószoba, tágas nappali, konyha-étkező és fürdőszoba várja a családot. A házat körülvevő, ablakokkal ellátott fedett terasz és gondozott kert biztosítja a kellemes időtöltést. Plusz garázs és tároló a telken!

Tehermentes, azonnal birtokba vehető! Egy kis festés, és máris költözhet!

Ne hagyja ki ezt a lehetőséget! Hívjon most, és egyeztessen látogatást!",https://ingatlan.com/34917239,534 m2,,,,,,,,,,,,,,,,,,,
46,"Érd, Érdliget",,"159,90 M Ft",,165 m2,969 090 Ft / m2,5 + 1 fél,2025,,,hőszivattyú,,teremgarázs hely - benne van az árban,ingatlaniroda,22,"ÉRD PARKVÁROSBAN , ÚJONNAN ÉPÜLT LUXUS, 5 szobás, duplakomfortos-2 fürdőszobás – 2 WC -hőszivattyús,- ÖNNÁLLÓ ,
129m2-es/ egyszintes
CSALÁDI HÁZ 840 m2-es saját kerttel és + 30 m2-es saját GARÁZZSAL ,
AKÁR AZONNALI KÖLTÖZÉSSEL,

10 %-AL LEKÖTHETŐ !
AZ INGATLAN JELENLEGI KULCSRAKÉSZ ÁLLAPOTBELI ÉRTÉKE, 160 millió
2023.ÉVI ÉRTÉKBECSLÉSSEL KERÜL ALÁTÁMASZTÁSRA, mely a feleknek korrekt útmutatóként szolgál, az esetleges ez évi 3 %-os kamatozású hitelfelvételnél is.

A ház önállóan áll , körbejárható, a 840 m2-es telek magas KERÍTÉSSEL van körbekerítve, ELEKTROMOS KAPUVAL ellátva, melyen akár teherautó is be tud állni, a 30 m2-es GARÁZSBAN 2 autónak biztosított a parkolás.

Műszaki: főfalak 15 cm dryvit szigeteléssel, thermo nyílászárókkal ellátva, kerámia cseréppel fedésű tető.

Teljes műszaki...",https://ingatlan.com/34882555,840 m2,,,,,,,,,,,,,,,,,,,
47,"Érd, Érdliget",,"64,90 M Ft",,112 m2,579 464 Ft / m2,,1950 és 1980 között,,jó állapotú,gázkazán,,udvari beálló - benne van az árban,ingatlaniroda,28,"ÉRDLIGETEN, A SZABADIDŐPARK KÖZELÉBEN, JÓ ÁLLAPOTÚ IKERHÁZFÉL, 443 NM-ES TELEKKEL, FEDETT KOCSIBEÁLLÓVAL ELADÓ!

Érdliget csendes, családi házas övezetében kínálunk eladásra egy saroktelken álló 1976-ban épült, később bővítésre került szépen karbantartott ikerházfelet, 443 nm-es saját telekkel.

Az ingatlan saját helyrajzi számmal rendelkezik, NEM osztatlan közös tulajdon!

A fő épület kb 75 nm-es, elosztásába tartozik egy előszoba (közlekedő), 2 tágas szoba, konyha, étkező, kamra és egy fürdőszoba.

20 évvel ezelőtt hozzáépítésre került téglából egy 18 nm-es helyiség, mely jelenleg hálószobaként és egy zuhanyzós fürdőként funkcionál, illetve 3 évvel ezelőtt egy 24 nm-es könnyűszerkezetes plusz tér is kialakításra került, melyből könnyen akár két szoba is kialakítható.

Az évek során, szak...",https://ingatlan.com/33549259,443 m2,,,,,,,,,,,,,,,,,,,
48,"Érd, Érdliget",,"59,99 M Ft",,120 m2,499 916 Ft / m2,,1950 és 1980 között,,felújítandó,gázkazán,,,ingatlaniroda,28,"Eladó családi ház Érdliget Budapesthez közeli részén, felújításra váró lehetőségekkel!

Főbb jellemzők:

•Telek mérete: 439 nm

•Lakóterület: bruttó 120 nm (nettó 106 nm), tetőtér-beépítéses

•Építés éve: földszint 1969-ben épült, felújítandó állapotú

•Felújítások: 2018-ban betoncserép fedésű új tető kialakítása,
a tetőtér beépítése és új fűtésrendszer kialakítása az egész házban
megtörtént.

Fűtés és nyílászárók:

•A fűtést és a meleg vizet egy új Ariston gázcirkó biztosítja, amely hatékony és energiatakarékos megoldás

•A földszinten régi fa ablakok, míg a tetőtérben műanyag nyílászárók kerültek beépítésre

Tetőtér:

•A tetőtérben a szobák burkolása, valamint a fürdőszoba és WC kialakítása az új tulajdonosra vár

Elosztás:

•Földszint: előszoba, nappali, hálószoba, fürdőszoba és konyha
...",https://ingatlan.com/34398014,439 m2,,,,,,,,,,,,,,,,,,,
49,"Érd, Érdliget",,"159,90 M Ft",,138 m2,1 158 695 Ft / m2,,2001 és 2010 között,,újszerű,gázkazán,,,ingatlaniroda,18,"Eladó egy igazán különleges otthon Érd csendes, zöldövezeti részén – tulajdonostól

Ha egy olyan otthont keresel, ahol a tágas terek, a gondos tervezés, és a természetközeli nyugalom találkozik a modern kényelmi megoldásokkal, akkor ezt a házat látnod kell!

Ez a 138 nm-es, két szintes családi ház 2000-ben épült, azóta is egy kézben van – a tulajdonos szeretettel és odafigyeléssel gondoskodott róla az évek során.

A belső elrendezés átgondolt, élhető:

Alsó szint:

Nappali, étkező és konyha – egy légtérben, mégis jól elkülönülve

Szülői hálószoba

Zuhanyzós fürdőszoba

Első és hátsó bejárat előszobákkal

Háztartási és gépészeti helyiség

Belső tároló

Parkoló helyiség



Felső szint:

2 különálló hálószoba

Külön gardróbhelyiség

Tágas, kádas fürdőszoba



Amitől ez az otthon még különlege...",https://ingatlan.com/34838602,560 m2,,,,,,,,,,,,,,,,,,,
